pl_orbsmax,pl_orbper,pl_orbincl,pl_orbeccen,pl_masse,pl_msinie,st_mass,sy_dist,Re,pl_orblper,pl_name,SpT Number,pl_mass_or_msini_e,contrast_at_highest_contrast,separation_at_highest_contrast,phase_at_highest_contrast,separation_at_largest_separation,contrast_at_largest_separation,phase_at_largest_separation,separation_at_average_separation,contrast_at_average_separation,phase_at_average_separation
2.8,1796.4,,0.338,,1506.45,0.9,17.9323,11.981838665353507,22.58,14 Her b,4.722567235701306,1506.45,3.898058436246892e-08,9.64711589646956,30.260460546570894,32.53897242970393,1.012747908467587e-09,96.99369231712762,26.32207440900521,3.0734257099612403e-09,68.38867542590046
1.66,798.5,,0.68,,565.7374,1.08,21.1397,11.685999576685305,,16 Cyg B b,4.387715248502775,565.7374,2.6436965730730853e-07,3.053698344612352,31.117042220153614,21.018560834381834,1.907006431456838e-09,92.3346591996503,15.417389374996544,6.465884246765818e-09,67.4940685021628
0.995,335.1,,0.289,,3140.03,1.16,44.657,11.66321504796224,307.0,30 Ari B b,3.6,3140.03,1.2600435692432078e-07,2.097111020373166,30.28740847402479,4.111489012240465,1.685799918162211e-08,75.66662483059339,3.7014713197096105,2.9960438345364144e-08,55.05016559326753
2.1,1076.6,,0.012,,778.6835,1.06,13.7967,11.843041635757617,147.0,47 UMa b,4.0,778.6835,4.1228724744588616e-08,12.062674451373336,30.02651338244161,24.511979468052008,3.6755933263644443e-09,89.32861011197394,24.27438902344624,4.379872172664431e-09,83.15389443946574
3.6,2391.0,,0.098,,171.621,1.06,13.7967,10.502257256332566,295.0,47 UMa c,4.307808820097916,171.621,9.232946795864759e-09,22.606175736279745,30.007384683056245,43.221781899734474,1.082251650231126e-09,83.45110615925645,41.81005477240522,1.5781582117617635e-09,69.59517626247667
11.6,14002.0,,0.16,,521.22,1.06,13.7967,11.6366951011247,110.0,47 UMa d,4.307808820097916,521.22,1.7957940327882691e-09,56.79731185293034,30.000817617005882,140.4152748176384,7.787839995164705e-11,100.3712908378591,135.79363902664608,1.2541150277567242e-10,86.06025157745277
0.1134,14.6516,,0.0,,255.4,0.91,12.5855,11.023790791831315,-21.5,55 Cnc b,4.780403787521168,255.4,1.2085847776140381e-05,0.718926000253972,30.022757482093454,1.4368469945113127,1.10187239966314e-06,89.72444681651439,1.4368636114231046,1.1333783635614683e-06,88.70099899941303
5.84,5370.0,,0.063,,1220.42,0.9,12.5855,11.968293282119646,163.0,55 Cnc d,4.726037524298795,1220.42,5.6297445678299875e-09,36.16631653736331,30.009034936369034,78.43432357658195,4.069557164783888e-10,92.18799408316163,74.14405637388225,7.368201104109593e-10,72.53489614812737
0.792,260.98,,0.142,,46.87969,0.97,12.5855,7.573640161734835,2.0,55 Cnc f,4.679069137223018,46.87969,1.238991159642872e-07,4.876136998878159,30.126513843621677,11.459188262227627,7.99641905454332e-09,90.53709821930437,10.136413189770282,1.880445760584114e-08,64.10330391716322
2.11,934.3,,0.073,,638.8383,1.44,54.6599,11.752226001732964,130.0,6 Lyn b,4.946106098899769,638.8383,4.467980591952584e-08,2.901650244764269,30.085603237270725,6.438040504651409,3.0090587853630738e-09,93.08901023578733,6.172231790024802,4.7055161566483506e-09,78.5454473347492
