pl_orbsmax,pl_orbper,pl_orbincl,pl_orbeccen,pl_masse,pl_msinie,st_mass,sy_dist,Re,pl_orblper,pl_name,SpT Number,pl_mass_or_msini_e,contrast_at_highest_contrast,separation_at_highest_contrast,phase_at_highest_contrast,separation_at_largest_separation,contrast_at_largest_separation,phase_at_largest_separation,separation_at_average_separation,contrast_at_average_separation,phase_at_average_separation
2.8,1796.4,,0.338,,1506.45,0.9,17.9323,11.981838665353507,22.58,14 Her b,4.722567235701306,1506.45,1.4065556343757553e-05,0.5083380542347651,30.033153270182332,32.4572587278056,1.0178536725110465e-09,96.99369231712762,26.32207440900521,2.903092366182012e-09,70.55937520954015
1.66,798.5,,0.68,,565.7374,1.08,21.1397,11.685999576685305,,16 Cyg B b,4.387715248502775,565.7374,4.532986076521031e-05,0.2342433668498065,30.061647375289002,21.014353111098686,1.952730872344447e-09,91.51127266214469,15.417389374996544,6.25983314636339e-09,68.75645729181336
0.995,335.1,,0.289,,3140.03,1.16,44.657,11.66321504796224,307.0,30 Ari B b,3.6,3140.03,0.00027487048066202605,0.04495290684540239,30.005567884680367,4.074613956784515,1.6381864665593683e-08,77.78090343613322,3.7014713197096105,2.823662014481023e-08,60.253706822333996
2.1,1076.6,,0.012,,778.6835,1.06,13.7967,11.843041635757617,147.0,47 UMa b,4.0,778.6835,1.9315586000427904e-05,0.5573007324873597,30.02651338244161,24.511418450837404,3.6757615822107913e-09,89.32861011197394,24.27438902344624,4.4010178343568896e-09,83.15389443946574
3.6,2391.0,,0.098,,171.621,1.06,13.7967,10.502257256332566,295.0,47 UMa c,4.307808820097916,171.621,1.5515411844522895e-05,0.5514620257725777,30.007384683056245,43.16409207214579,1.0091519119545507e-09,86.32886387173161,41.81005477240522,1.3838262558838763e-09,75.02742532520347
11.6,14002.0,,0.16,,521.22,1.06,13.7967,11.6366951011247,110.0,47 UMa d,4.307808820097916,521.22,2.7246942242855273e-05,0.4611021615016111,30.000817617005882,139.88992989540253,8.564434066534155e-11,97.6173121322899,135.79363902664608,1.2561009647402955e-10,86.06025157745277
0.1134,14.6516,,0.0,,255.4,0.91,12.5855,11.023790791831315,-21.5,55 Cnc b,4.780403787521168,255.4,0.006595442327437665,0.03077519310986822,30.022757482093454,1.43684145549801,1.1018808950995986e-06,89.72444681651439,1.4368636114231046,1.133572653652524e-06,88.70099899941303
5.84,5370.0,,0.063,,1220.42,0.9,12.5855,11.968293282119646,163.0,55 Cnc d,4.726037524298795,1220.42,7.733116022022505e-06,0.9758236990736957,30.009034936369034,78.41523923723263,4.0715382659458907e-10,92.18799408316163,74.14405637388225,6.877413826919055e-10,75.34701972563487
0.792,260.98,,0.142,,46.87969,0.97,12.5855,7.573640161734835,2.0,55 Cnc f,4.679069137223018,46.87969,0.00012190685285226633,0.1555252226915928,30.01247912268413,11.459020423032744,7.996653301855117e-09,90.53709821930437,10.136413189770282,1.654220204825885e-08,68.92971642113781
2.11,934.3,,0.073,,638.8383,1.44,54.6599,11.752226001732964,130.0,6 Lyn b,4.946106098899769,638.8383,2.5781058052938632e-05,0.015672801434328257,149.99971031537058,6.434914832264208,3.011982714104372e-09,93.08901023578733,6.172231790024802,4.7708085769220145e-09,78.5454473347492
